10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:50:02.246 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|3788ms
10:50:02.247 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.266 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.267 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|3809ms
10:50:02.268 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.270 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|3811ms
10:50:02.270 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.298 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|3840ms
10:50:02.298 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.556 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4097ms
10:50:02.558 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.559 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4099ms
10:50:02.559 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.565 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4106ms
10:50:02.565 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.566 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4107ms
10:50:02.566 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.699 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4240ms
10:50:02.699 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.827 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4367ms
10:50:02.828 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.854 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4394ms
10:50:02.855 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.857 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4397ms
10:50:02.857 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:02.923 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4463ms
10:50:02.924 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.055 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4595ms
10:50:03.055 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.085 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4624ms
10:50:03.091 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:03.137 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|4676ms
